City,Country,IATA,CA,MU,CZ,HU
Xiangyang,"People's Republic of China",XFN,yes,yes,yes,yes
Xichang,"People's Republic of China",XIC,yes,yes,NULL,NULL
Xilinhot,"People's Republic of China",XIL,yes,yes,yes,NULL
Xingyi,"People's Republic of China",ACX,NULL,yes,yes,NULL
Xining,"People's Republic of China",XNN,yes,yes,yes,yes
Xinyuan,"People's Republic of China",NLT,NULL,NULL,yes,NULL
Xuzhou,"People's Republic of China",XUZ,yes,yes,yes,yes
Yan'an,"People's Republic of China",ENY,NULL,yes,NULL,yes
Yancheng,"People's Republic of China",YNZ,yes,yes,yes,yes
Yangon,Myanmar,RGN,yes,yes,yes,NULL
Yangzhou,"People's Republic of China",YTY,yes,NULL,yes,yes
Yanji,"People's Republic of China",YNJ,yes,yes,yes,NULL
Yantai,"People's Republic of China",YNT,yes,yes,yes,NULL
Yekaterinburg,Russia,SVX,yes,NULL,NULL,yes
Yibin,"People's Republic of China",YBP,yes,yes,NULL,NULL
Yichang,"People's Republic of China",YIH,yes,yes,yes,yes
Yichun,"People's Republic of China",LDS,NULL,yes,yes,NULL
Yinchuan,"People's Republic of China",INC,yes,yes,yes,yes
Yining,"People's Republic of China",YIN,NULL,NULL,yes,NULL
Yiwu,"People's Republic of China",YIW,yes,NULL,yes,NULL
Yongzhou,"People's Republic of China",LLF,NULL,NULL,yes,NULL
Yulin,"People's Republic of China",UYN,NULL,yes,yes,yes
Yuncheng,"People's Republic of China",YCU,yes,yes,yes,yes
Yushu,"People's Republic of China",YUS,NULL,yes,NULL,NULL
Zhangjiajie,"People's Republic of China",DYG,yes,yes,yes,NULL
Zhangjiakou,"People's Republic of China",ZQZ,NULL,yes,NULL,NULL
Zhanjiang,"People's Republic of China",ZHA,yes,NULL,yes,yes
Zhaotong,"People's Republic of China",ZAT,NULL,yes,NULL,NULL
Zhengzhou,"People's Republic of China",CGO,yes,yes,yes,yes
Zhongdian,"People's Republic of China",DIG,NULL,yes,yes,NULL
Zhoushan,"People's Republic of China",HSN,NULL,yes,yes,NULL
Zhuhai,"People's Republic of China",ZUH,yes,yes,yes,yes
Zunyi,"People's Republic of China",ZYI,yes,yes,yes,NULL
Zurich,Switzerland,ZRH,NULL,yes,NULL,yes
